; Output from TEXES Zonal Mean Study
; Brunt Vaisala Frequency [10!u-3!n s!u-1!n]
; 
; Latitudes [centric]: nlat=          61
; Pressure [atm]: npro=         120
; Data: nlat x npro:           61 x          120
; 
; Latitude:
      -26.493814      -25.573352      -24.656660      -23.743531      -22.833765
      -21.927430      -21.024224      -20.124213      -19.227095      -18.332840
      -17.441416      -16.552518      -15.666112      -14.785691      -13.903969
      -13.024358      -12.146644      -11.266584      -10.396733      -9.5241894
      -8.6530999      -7.7832633      -6.9146424      -6.0525234      -5.1803297
      -4.3205584      -3.4556445      -2.5912654      -1.7306130     -0.86357678
   -0.0057189067      0.86087795       1.7221735       2.5888111       3.4509670
       4.3160766       5.1817931       6.0441501       6.9137572       7.7842884
       8.6539704       9.5249741       10.397432       11.271483       12.147258
       13.024886       13.904497       14.786220       15.668500       16.554913
       17.442127       18.333554       19.227811       20.124842       21.024855
       21.928063       22.834401       23.744079       24.657208       25.572526
       26.039007
; 
; Pressure:
      9.87170      8.62120      7.52910      6.57540      5.74240      5.01500
      4.37980      3.82500      3.34040      2.91730      2.54770      2.22500
      1.94320      1.69700      1.48200      1.29430      1.13040     0.987170
     0.862120     0.752910     0.657540     0.574240     0.501500     0.437980
     0.382500     0.334040     0.291730     0.254770     0.222500     0.194320
     0.169700     0.148200     0.129430     0.113040    0.0987170    0.0862120
    0.0752910    0.0657540    0.0574240    0.0501500    0.0437980    0.0382500
    0.0334040    0.0291730    0.0254770    0.0222500    0.0194320    0.0169700
    0.0148200    0.0129430    0.0113040   0.00987170   0.00862120   0.00752910
   0.00657540   0.00574240   0.00501500   0.00437980   0.00382500   0.00334040
   0.00291730   0.00254770   0.00222500   0.00194320   0.00169700   0.00148200
   0.00129430   0.00113040  0.000987170  0.000862120  0.000752910  0.000657540
  0.000574240  0.000501500  0.000437980  0.000382500  0.000334040  0.000291730
  0.000254770  0.000222500  0.000194320  0.000169700  0.000148200  0.000129430
  0.000113040  9.87170e-05  8.62120e-05  7.52910e-05  6.57540e-05  5.74240e-05
  5.01500e-05  4.37980e-05  3.82500e-05  3.34040e-05  2.91730e-05  2.54770e-05
  2.22500e-05  1.94320e-05  1.69700e-05  1.48200e-05  1.29430e-05  1.13040e-05
  9.87170e-06  8.62120e-06  7.52910e-06  6.57540e-06  5.74240e-06  5.01500e-06
  4.37980e-06  3.82500e-06  3.34040e-06  2.91730e-06  2.54770e-06  2.22500e-06
  1.94320e-06  1.69700e-06  1.48200e-06  1.29430e-06  1.13040e-06  9.87170e-07
; 
; Data: 
     0.645582     0.650264     0.483250     0.449942     0.386783     0.269180
     0.126043     0.127380    0.0966716     0.133990     0.210249         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN     0.263078     0.510920     0.675413     0.783941     0.848150
     0.784079     0.699163     0.541767     0.338152     0.220275         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN    0.0482923
     0.127562         -NaN         -NaN         -NaN         -NaN         -NaN
     0.468000
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN
      1.32928      1.35708      1.28282      1.26532      1.21930      1.16444
      1.13793      1.13617      1.14841      1.18202      1.19399      1.14147
      1.07710      1.01713      1.00920      1.04312      1.08208      1.09711
      1.07879     0.992131     0.898642     0.886939     0.897213     0.910221
     0.939031     0.955961     0.927877     0.917172     0.904945     0.886099
     0.896469     0.927152     0.945407     0.962967     0.998689      1.01805
      1.03206      1.13702      1.25982      1.35342      1.43981      1.49894
      1.46026      1.37148      1.28122      1.19836      1.13438      1.08851
      1.06383      1.05493      1.04879      1.05025      1.09261      1.15259
      1.14963      1.12130      1.07410      1.01337      1.02241     0.949465
      1.31893
      4.18059      4.17990      4.14202      4.12656      4.10251      4.07610
      4.05872      4.05115      4.04792      4.04999      4.04746      4.02594
      4.00170      3.97838      3.97327      3.97921      3.98695      3.98688
      3.97592      3.94503      3.91646      3.90915      3.91025      3.91422
      3.92059      3.92124      3.91119      3.90407      3.89885      3.89452
      3.89903      3.91001      3.91691      3.92218      3.93373      3.94141
      3.94526      3.98040      4.02419      4.06005      4.09546      4.12069
      4.10951      4.08015      4.05206      4.02916      4.01628      4.00714
      4.00357      4.00359      4.00756      4.01312      4.03117      4.05666
      4.06616      4.06525      4.05771      4.04599      4.05688      4.03658
      4.16401
      4.86361      4.85392      4.82480      4.80879      4.78503      4.75784
      4.73894      4.73006      4.72523      4.72701      4.72119      4.69947
      4.67410      4.65124      4.64613      4.65158      4.65569      4.65611
      4.64365      4.61176      4.58169      4.57586      4.57442      4.57877
      4.58403      4.58615      4.57657      4.57178      4.56508      4.56199
      4.56534      4.57497      4.57938      4.58443      4.59394      4.60175
      4.60611      4.64185      4.68557      4.72379      4.75834      4.78564
      4.77351      4.74605      4.71857      4.69859      4.68311      4.67747
      4.67478      4.67664      4.68064      4.69051      4.70911      4.73599
      4.74634      4.74754      4.74139      4.73146      4.74326      4.72451
      4.84911
      4.19795      4.20098      4.15755      4.14079      4.11151      4.07977
      4.06099      4.05337      4.05103      4.05884      4.05531      4.02860
      3.99687      3.96780      3.96230      3.97236      3.98096      3.98356
      3.97165      3.92967      3.89014      3.88377      3.88398      3.88891
      3.89712      3.90221      3.89045      3.88602      3.87812      3.87478
      3.88027      3.89125      3.89769      3.90389      3.91802      3.92481
      3.93125      3.97873      4.04044      4.08976      4.13906      4.17356
      4.15433      4.11076      4.06892      4.03414      4.01025      3.99767
      3.99043      3.99129      3.99520      4.00400      4.02638      4.06165
      4.06938      4.06450      4.05200      4.03433      4.04344      4.01787
      4.17905
      3.33058      3.33755      3.28005      3.26233      3.22416      3.18142
      3.15343      3.15059      3.15222      3.16838      3.17025      3.13602
      3.08797      3.04705      3.04289      3.06433      3.08579      3.09342
      3.07833      3.02024      2.96134      2.95178      2.95664      2.96338
      2.97721      2.98365      2.96736      2.95921      2.95366      2.94527
      2.95530      2.97459      2.98859      2.99711      3.01943      3.02966
      3.03461      3.10221      3.19090      3.26533      3.33635      3.38551
      3.35907      3.29381      3.22654      3.17198      3.13282      3.10537
      3.08839      3.08539      3.08286      3.08864      3.11957      3.16510
      3.16811      3.15627      3.13245      3.09749      3.10799      3.06323
      3.30979
      1.98921      2.01767      1.91156      1.88543      1.81790      1.73410
      1.68766      1.68988      1.70840      1.75049      1.76822      1.69343
      1.59433      1.50354      1.50185      1.55632      1.61489      1.63602
      1.60387      1.47054      1.31946      1.30004      1.31737      1.34604
      1.39085      1.41645      1.37203      1.35378      1.33225      1.30735
      1.32716      1.38067      1.40690      1.43311      1.48345      1.51518
      1.52538      1.68777      1.86960      2.01880      2.14427      2.23356
      2.17852      2.04756      1.90774      1.78846      1.69240      1.62819
      1.58334      1.56186      1.55029      1.56083      1.61849      1.71432
      1.71863      1.68253      1.60750      1.51137      1.52910      1.39556
      1.97555
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN     0.604099     0.904636
     0.692389         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN
