; Output from TEXES Zonal Mean Study
; Brunt Vaisala Frequency [10!u-3!n s!u-1!n]
; 
; Latitudes [centric]: nlat=          59
; Pressure [atm]: npro=         120
; Data: nlat x npro:           59 x          120
; 
; Latitude:
      -26.492338      -25.571976      -24.655196      -23.743531      -22.833765
      -21.927430      -21.024224      -20.124213      -19.227095      -18.332840
      -17.441416      -16.554292      -15.667881      -14.783838      -13.903969
      -13.024358      -12.144628      -11.270870      -10.394551      -9.5241894
      -8.6554410      -7.7857569      -6.9146771      -6.0497842      -5.1832308
      -4.3174695      -3.4556445      -2.5912654      -1.7305871     -0.86357678
   -0.0028594533      0.86087795       1.7221476       2.5863828       3.4509670
       4.3160506       5.1796455       6.0483367       8.6520559       9.5249741
       10.397432       11.271483       12.145591       13.023216       13.901151
       14.782954       15.666996       16.553317       17.442215       18.333554
       19.227811       20.124842       21.024855       21.928063       22.834401
       23.744079       24.655837       25.572526       26.492892
; 
; Pressure:
      9.87170      8.62120      7.52910      6.57540      5.74240      5.01500
      4.37980      3.82500      3.34040      2.91730      2.54770      2.22500
      1.94320      1.69700      1.48200      1.29430      1.13040     0.987170
     0.862120     0.752910     0.657540     0.574240     0.501500     0.437980
     0.382500     0.334040     0.291730     0.254770     0.222500     0.194320
     0.169700     0.148200     0.129430     0.113040    0.0987170    0.0862120
    0.0752910    0.0657540    0.0574240    0.0501500    0.0437980    0.0382500
    0.0334040    0.0291730    0.0254770    0.0222500    0.0194320    0.0169700
    0.0148200    0.0129430    0.0113040   0.00987170   0.00862120   0.00752910
   0.00657540   0.00574240   0.00501500   0.00437980   0.00382500   0.00334040
   0.00291730   0.00254770   0.00222500   0.00194320   0.00169700   0.00148200
   0.00129430   0.00113040  0.000987170  0.000862120  0.000752910  0.000657540
  0.000574240  0.000501500  0.000437980  0.000382500  0.000334040  0.000291730
  0.000254770  0.000222500  0.000194320  0.000169700  0.000148200  0.000129430
  0.000113040  9.87170e-05  8.62120e-05  7.52910e-05  6.57540e-05  5.74240e-05
  5.01500e-05  4.37980e-05  3.82500e-05  3.34040e-05  2.91730e-05  2.54770e-05
  2.22500e-05  1.94320e-05  1.69700e-05  1.48200e-05  1.29430e-05  1.13040e-05
  9.87170e-06  8.62120e-06  7.52910e-06  6.57540e-06  5.74240e-06  5.01500e-06
  4.37980e-06  3.82500e-06  3.34040e-06  2.91730e-06  2.54770e-06  2.22500e-06
  1.94320e-06  1.69700e-06  1.48200e-06  1.29430e-06  1.13040e-06  9.87170e-07
; 
; Data: 
      1.08063      1.01484      1.02038      1.01359      1.02008      1.05447
      1.06305      1.10153      1.13687      1.17189      1.19059      1.18583
      1.15559      1.10392      1.03864     0.966842     0.929539     0.886485
     0.859140     0.788176     0.758485     0.744585     0.754064     0.772503
     0.846309     0.869318     0.874901     0.886243     0.864505     0.848253
     0.847312     0.847256     0.834501     0.862411     0.921166     0.976437
      1.09558      1.18640      1.19294      1.13936      1.07010     0.939974
     0.816014     0.770112     0.706905     0.733782     0.752871     0.767787
     0.799496     0.900343     0.933738     0.932275     0.920521     0.884678
     0.771087     0.685969     0.578163     0.624006     0.370521
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN
      1.66590      1.63393      1.65430      1.66033      1.67192      1.67533
      1.69304      1.72162      1.74868      1.77557      1.80112      1.80748
      1.78944      1.74333      1.69103      1.63244      1.57774      1.53717
      1.50736      1.45280      1.42230      1.43118      1.44207      1.45376
      1.49369      1.51969      1.51414      1.50394      1.50155      1.48977
      1.48911      1.48888      1.49868      1.52754      1.58238      1.63594
      1.74272      1.81558      1.81541      1.76147      1.69933      1.57546
      1.46497      1.42047      1.38972      1.39357      1.40303      1.42913
      1.46668      1.53941      1.56523      1.58378      1.58137      1.56662
      1.47720      1.44133      1.36791      1.42062      1.22086
      4.31082      4.28830      4.28488      4.27783      4.27362      4.26905
      4.27100      4.27778      4.28258      4.28952      4.29460      4.29164
      4.27705      4.25238      4.22555      4.19542      4.16747      4.14726
      4.12994      4.10286      4.08815      4.08736      4.08930      4.09474
      4.10717      4.11569      4.11181      4.10606      4.10095      4.09604
      4.09388      4.09397      4.09711      4.11104      4.13527      4.15993
      4.21101      4.24708      4.25437      4.23406      4.20912      4.15760
      4.11858      4.10677      4.09745      4.10562      4.11642      4.13139
      4.15089      4.18782      4.20585      4.21937      4.22493      4.22494
      4.19692      4.18808      4.16846      4.19235      4.13482
      4.99148      4.96199      4.96248      4.95416      4.94980      4.94354
      4.94465      4.95021      4.95434      4.96019      4.96472      4.96037
      4.94534      4.91927      4.89162      4.86100      4.83281      4.81018
      4.79386      4.76675      4.75104      4.75076      4.75268      4.75469
      4.76748      4.77610      4.77083      4.76596      4.76171      4.75545
      4.75376      4.75388      4.75820      4.77206      4.79590      4.82180
      4.87165      4.90577      4.91508      4.89731      4.87136      4.82129
      4.78476      4.77522      4.76668      4.77690      4.78927      4.80454
      4.82239      4.85894      4.87696      4.88993      4.89732      4.90103
      4.87619      4.86919      4.85214      4.87562      4.81667
      4.38189      4.34866      4.35275      4.34801      4.34609      4.34209
      4.34534      4.35616      4.36460      4.37547      4.38402      4.38361
      4.36752      4.33608      4.29999      4.26392      4.22818      4.19985
      4.17808      4.14509      4.12456      4.12593      4.13037      4.13564
      4.15651      4.16858      4.16463      4.16007      4.15622      4.14893
      4.14636      4.14646      4.15172      4.16953      4.20153      4.23546
      4.30200      4.34764      4.35481      4.32664      4.29214      4.22212
      4.16543      4.14650      4.13277      4.14103      4.15235      4.17101
      4.19544      4.23957      4.25961      4.27475      4.28001      4.27821
      4.23988      4.22607      4.19734      4.22450      4.14538
      3.59832      3.55812      3.57298      3.57159      3.57713      3.57650
      3.58882      3.61057      3.63197      3.65330      3.66917      3.66913
      3.65093      3.60617      3.55572      3.50629      3.45810      3.41909
      3.39062      3.34433      3.31847      3.32516      3.33538      3.34805
      3.37840      3.39626      3.39121      3.38079      3.37116      3.36340
      3.36056      3.35791      3.36490      3.39398      3.43946      3.48763
      3.58611      3.65313      3.65592      3.60963      3.55497      3.44980
      3.36416      3.33300      3.31038      3.31911      3.33135      3.35585
      3.38698      3.44917      3.47748      3.49330      3.49111      3.48232
      3.41894      3.38925      3.33800      3.37720      3.24018
      2.50427      2.42457      2.46662      2.47152      2.49002      2.49982
      2.52837      2.57246      2.61343      2.65514      2.68789      2.69430
      2.66710      2.59656      2.52206      2.44035      2.36107      2.29655
      2.25460      2.16571      2.11795      2.13187      2.15271      2.16913
      2.22827      2.26493      2.25431      2.23871      2.22829      2.21102
      2.20992      2.20603      2.21766      2.26551      2.34928      2.43022
      2.59561      2.70317      2.70460      2.62767      2.52971      2.33946
      2.18029      2.11953      2.06884      2.08782      2.11364      2.15131
      2.19719      2.30609      2.34672      2.36331      2.35397      2.33572
      2.20640      2.14197      2.03572      2.10574      1.81812
      1.40459      1.25598      1.34471      1.36279      1.40920      1.43395
      1.48982      1.58539      1.66069      1.73846      1.80486      1.82926
      1.78323      1.67167      1.53385      1.36598      1.18815      1.04135
     0.917155     0.629428     0.402595     0.468932     0.572562     0.663611
     0.869393     0.981333     0.966455     0.923625     0.903198     0.844755
     0.828754     0.827182     0.873004     0.992253      1.20441      1.38751
      1.70074      1.88955      1.88500      1.75005      1.56963      1.15702
     0.663103     0.340677         -NaN         -NaN         -NaN     0.397393
     0.637379      1.00131      1.08652      1.13793      1.11523      1.05124
     0.604238     0.166367         -NaN         -NaN         -NaN
         -NaN         -NaN         -NaN         -NaN         -NaN         -NaN
         -NaN     0.397894     0.695658     0.914719      1.07261      1.11120
      1.02786     0.780374     0.194626         -NaN         -NaN         -NaN
